rechiseledcreate:block/crimson_window_slim_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/crimson_window_swirling_end	plain	16	16	-
rechiseledcreate:block/crimson_window_swirling_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/crimson_window_tiles_end	plain	16	16	-
rechiseledcreate:block/crimson_window_tiles_side	full	128	128	cf1a8048702ec54035777aaf3acb1153c2512efaa3dc99ac02709796c8daeaa5
rechiseledcreate:block/dark_oak_window_bars_end	plain	16	16	-
rechiseledcreate:block/dark_oak_window_bars_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/dark_oak_window_covered_end	plain	16	16	-
rechiseledcreate:block/dark_oak_window_covered_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/dark_oak_window_diagonal_end	plain	16	16	-
rechiseledcreate:block/dark_oak_window_diagonal_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/dark_oak_window_panes_end	plain	16	16	-
rechiseledcreate:block/dark_oak_window_panes_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/dark_oak_window_rounded_end	plain	16	16	-
rechiseledcreate:block/dark_oak_window_rounded_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/dark_oak_window_slim_end	plain	16	16	-
rechiseledcreate:block/dark_oak_window_slim_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/dark_oak_window_swirling_end	plain	16	16	-
rechiseledcreate:block/dark_oak_window_swirling_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/dark_oak_window_tiles_end	plain	16	16	-
rechiseledcreate:block/dark_oak_window_tiles_side	full	128	128	cf1a8048702ec54035777aaf3acb1153c2512efaa3dc99ac02709796c8daeaa5
rechiseledcreate:block/deepslate_cut_polished	full	128	128	cd5fc883f73b7e2b47e0c70303719ec45810b3a55e00cd342c57d9ac4d9acb61
rechiseledcreate:block/deepslate_cut_small_brick	full	128	128	cd5fc883f73b7e2b47e0c70303719ec45810b3a55e00cd342c57d9ac4d9acb61
rechiseledcreate:block/diorite_cut_polished	full	128	128	cd5fc883f73b7e2b47e0c70303719ec45810b3a55e00cd342c57d9ac4d9acb61
rechiseledcreate:block/diorite_cut_small_brick	full	128	128	cd5fc883f73b7e2b47e0c70303719ec45810b3a55e00cd342c57d9ac4d9acb61
rechiseledcreate:block/dripstone_cut_polished	full	128	128	cd5fc883f73b7e2b47e0c70303719ec45810b3a55e00cd342c57d9ac4d9acb61
rechiseledcreate:block/dripstone_cut_small_brick	full	128	128	cd5fc883f73b7e2b47e0c70303719ec45810b3a55e00cd342c57d9ac4d9acb61
rechiseledcreate:block/granite_cut_polished	full	128	128	cd5fc883f73b7e2b47e0c70303719ec45810b3a55e00cd342c57d9ac4d9acb61
rechiseledcreate:block/granite_cut_small_brick	full	128	128	cd5fc883f73b7e2b47e0c70303719ec45810b3a55e00cd342c57d9ac4d9acb61
rechiseledcreate:block/jungle_window_bars_end	plain	16	16	-
rechiseledcreate:block/jungle_window_bars_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/jungle_window_covered_end	plain	16	16	-
rechiseledcreate:block/jungle_window_covered_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/jungle_window_diagonal_end	plain	16	16	-
rechiseledcreate:block/jungle_window_diagonal_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/jungle_window_large_end	plain	16	16	-
rechiseledcreate:block/jungle_window_large_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/jungle_window_panes_end	plain	16	16	-
rechiseledcreate:block/jungle_window_panes_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/jungle_window_rounded_end	plain	16	16	-
rechiseledcreate:block/jungle_window_rounded_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/jungle_window_swirling_end	plain	16	16	-
rechiseledcreate:block/jungle_window_swirling_side	simple	64	64	0a79f54e5c113cb6c87cda4025a0118cfa830c48a62251945da06f70f9de152f
rechiseledcreate:block/jungle_window_tiles_end	plain	16	16	-
